Participant_ID,Completion_Code,Sex,Age,Musician_type,Excerpt_filename,Filename,Type,Musician,Excerpt,Condition,ConditionCong,PC1,PC2,PC3,PC4,PC5,fact_PC1,fact_PC2,fact_PC3,fact_PC4,fact_PC5,fact_mdn_PC1,fact_mdn_PC2,fact_mdn_PC3,fact_mdn_PC4,fact_mdn_PC5,Liking,Expressivity,GEMMES,GEMMES_Value,GEMMES_Bin
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Dp_T2,03_Ca_Dp_T2.mp3,Audio,03,1CaFl,1Dp,1Dp,0,0,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Dp_T2,03_Ca_Dp_T2.mp3,Audio,03,1CaFl,1Dp,1Dp,0,0,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Dp_T2,03_Ca_Dp_T2.mp3,Audio,03,1CaFl,1Dp,1Dp,0,0,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Dp_T2,03_Ca_Dp_T2.mp3,Audio,03,1CaFl,1Dp,1Dp,0,0,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Dp_T2,03_Ca_Dp_T2.mp3,Audio,03,1CaFl,1Dp,1Dp,0,0,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Fl_T1,03_Ca_Fl_T1.mp3,Audio,03,1CaFl,3Fl,3Cong,3,4,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,GEMMES_Flow,2,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Fl_T1,03_Ca_Fl_T1.mp3,Audio,03,1CaFl,3Fl,3Cong,3,4,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Fl_T1,03_Ca_Fl_T1.mp3,Audio,03,1CaFl,3Fl,3Cong,3,4,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Fl_T1,03_Ca_Fl_T1.mp3,Audio,03,1CaFl,3Fl,3Cong,3,4,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,GEMMES_Interior,4,1
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Ca_Fl_T1,03_Ca_Fl_T1.mp3,Audio,03,1CaFl,3Fl,3Cong,3,4,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,GEMMES_Wandering,0,0
